Name,Gender
Ashutosh,1
Meghamala,2
Sahib,1
Pragya,2
Kranti,2
Tulika,2
Aarushi,2
Abhicandra,1
Pratigya,2
Devak,1
Kashiprasad,1
Madhavi,2
Charusila,2
Chithayu,1
Manmayi,2
Mahajabeen,2
Krishnakumar,1
Kailas,1
Nidhyathi,2
Nainika,2
Madirakshi,2
Adil,1
Devadyumna,1
Harijatha,2
Rupal,2
Eka,2
Ilampirai,2
Soham,1
Acalapati,1
Naveen,1
Jalendu,1
Shrivalli,2
Wajeeh,1
Kumar,1
Sudhan,1
Ilanthirayan,1
Agneya,1
Oma,2
Kali,2
Ajaatshatru,1
Rishabh,1
Hariraj,1
Abhay,1
Gudiya,2
Neelabja,2
Punit,1
Soumil,1
Sarbani,2
Sharvani,2
Tripuri,2
Punita,1
Shandar,1
Naisha,2
Danvir,1
Suday,1
Sonika,2
Mrudu,2
Ramavatar,1
Puji,2
Radhakrishna,1
Jaspal,1
Dhruv,1
Ketan,1
Prama,2
Mannan,1
Kunjabihari,1
Chitrarath,1
Ranjini,2
Tarika,2
Thirumal,1
Muralidhar,1
Muhilan,1
Adrika,2
Arghya,1
Tarak,1
Suhrit,1
Sunetra,2
Jehangir,1
Anshu,1
Chakrika,2
Harmya,2
Sarjana,2
Khushboo,2
Ambalika,2
Rashmika,2
Ayeh,2
Dasharath,1
Jagachandra,1
Irshaad,1
Ritu,2
Subramani,1
Charvi,2
Purushottam,1
Nithilam,2
Vedavrata,1
Jagadayu,1
Durga,2
Ekalavya,1
Dyumna,2
Sampriti,2
Chitrarekha,2
Pari,2
Rajashri,2
Kushik,1
Chumban,2
Ankush,1
Sunayani,2
Deshna,2
Tanuja,2
Nauka,2
Tarunika,2
Kalash,1
Krishi,2
Shrikirti,2
Kartikeya,1
Bulbul,2
Lingappan,1
Adhik,1
Saranya,2
Rambha,2
Anumati,2
Sanjiv,1
Umrao,2
Baidehi,2
Aadarsh,1
Ganjan,1
Devadarshan,1
Kalyani,2
Malaya,1
Ganesh,1
Farha,2
Adesh,1
Pritika,2
Alagan,1
Shridevi,2
Deepinder,1
Gunitha,2
Chanchari,2
Shabab,2
Adya,2
Prapti,2
Nagasri,2
Gandharaj,1
Kilimoli,2
Yatisa,1
Sujata,2
Prasana,2
Kovida,1
Chandani,2
Sabhya,1
Archita,2
Sarwar,1
Madhukar,1
Ramswaroop,1
Uday,1
"Farukh, Farokh",1
Angana,2
Kamitha,2
Brijabala,2
Lalita,2
Vanca,2
Gambheer,1
Anhithi,2
Mehul,2
Vijeta,2
Prashansa,2
Vanajaksi,2
Chandrakin,2
Kshiti,2
Sanemi,2
Swadhinta,2
Mrigankamouli,1
Sneha,2
Kimaya,2
Teertha,2
Amar,1
Kala,2
Priya,1
Abja,2
Niharika,2
Seemanti,2
Kalyan,1
Nikhat,1
Rajanikanta,1
Namacharya,1
Giridari,1
Jag,1
Bibek,1
Chatura,2
Trailokva,1
Naresh,1
Acchindra,1
Fajyaz,2
Labuki,2
Nalika,2
Ahijit,1
Parvani,2
Ramratan,1
Navrang,1
Krishnakanta,1
Kriya,2
Javed,1
Dehabhuj,1
Ekanjeet,1
Kanwaljeet,1
Mitravinda,2
Shaistakhan,1
Sarani,2
Iravan,1
Sudhir,1
Utanka,1
Nipuna,2
Dhitha,2
Madhu,1
Nina,2
Rabhya,2
Jalbhushan,1
Madangopal,1
Avinash,1
Nirupam,1
Vishwanath,1
Amitrasudan,1
Jnanaprakash,1
Sunasi,1
Avnita,2
Shubhranshu,1
Laksh,1
Lalitkishore,1
Chayana,2
Nirvani,2
Kshanika,2
Sanvali,2
Tanay,1
Nibodh,1
Kokila,2
Chitramaya,2
Elil,1
Suneet,1
Srijan,1
Chirag,1
Chitrita,2
Vineet,1
Harish,1
Githika,2
Aditi,2
Kanal,1
Ishat,1
Ecchumati,2
Panna,2
Brahmacharini,2
Iham,1
Mehmood,1
Seemantini,2
Shoorsen,1
Tirthankara,1
Bhupathi,1
Inbanathan,1
Elili,2
Haroon,1
Kalavathi,2
